name,score,luma stdev,DL accutance,"['layer_1_gain_positive_lut', 'layer_1_gain_negative_lut']",
target,0,0.4,11.0
ind0_init,4.35025,0.414162581623059,7.1347,[1.01 1.77]
ind1_init,2.76638,0.4003414937871721,7.5987,[1.7  1.02]
ind2_init,2.88425,0.3936621858423468,8.105,[0.58 2.47]
ind3_init,0.80841,0.3940412612081144,10.6439,[3.61 2.57]
ind4_init,4.5094,0.3788555020554639,7.697,[2.74 0.22]
ind0_gne0,3.543091928,0.42605796660084666,9.433,[1.01 4.  ]
ind1_gne0,2.999035998,0.41902990931951517,9.3441,[1.7 4. ]
ind2_gne0,3.097889304,0.3826007666692479,9.0437,[1.62 2.47]
ind3_gne0,3.706553207,0.44014440719277104,11.2366,[3.61 3.67]
ind4_gne0,2.390669343,0.41423081518889726,9.5778,[1.79 2.98]
ind0_gne1,2.802618436,0.4280064139808922,10.5655,[2.76 4.  ]
ind1_gne1,3.442601766,0.4259669885130624,9.548,[1.7  3.71]
ind2_gne1,2.927177522,0.41287372537944916,8.7632,[0.58 3.98]
ind3_gne1,1.728635046,0.4185371113440172,11.1305,[3.61 3.84]
ind4_gne1,2.950811284,0.4206599333923159,9.5815,[1.79 3.47]
ind0_gne2,2.035425989,0.4219791156651872,11.1371,[2.97 4.  ]
ind1_gne2,2.008030212,0.3927069159206124,9.2981,[1.7  3.71]
ind2_gne2,2.916984298,0.3885598314191147,8.6198,[0.58 3.71]
ind3_gne2,1.642989809,0.41216106369180605,11.7182,[3.61 4.  ]
ind4_gne2,2.240130742,0.41592907282753616,9.9498,[1.79 4.  ]
